Student_ID,Attendance_Rate,Study_Hours_Per_Week,Previous_Score,Assignment_Completion_Rate,Internal_Assessment_Score,Class_Participation,Parental_Education_Level,Internet_Access,Extra_Curricular,Final_Exam_Score
STU_0001,84.3,15.2,68.3,86.8,65.6,3,Master,Yes,Yes,73.27
STU_0002,81.5,11.4,62.4,81.7,59.8,3,High School,Yes,Yes,69.1
STU_0003,80.2,32.1,53.6,73.6,68.7,2,Bachelor,Yes,Yes,69.39
STU_0004,69.1,12.8,52.9,71.3,53.3,3,High School,Yes,No,57.47
STU_0005,97.1,8.3,73.3,63.8,65.9,3,Master,Yes,Yes,74.36
STU_0006,67.5,21.5,63.0,56.4,54.0,3,Associate,Yes,No,61.92
STU_0007,89.0,13.1,49.8,85.1,48.8,1,Bachelor,Yes,No,65.52
STU_0008,74.7,13.6,98.5,63.0,82.3,1,Associate,Yes,No,77.49
STU_0009,79.9,18.1,52.3,82.5,48.3,2,Associate,Yes,Yes,64.07
STU_0010,91.2,18.4,83.3,43.8,63.4,3,Bachelor,Yes,Yes,74.47
STU_0011,94.4,7.3,47.3,67.2,39.9,4,Master,Yes,Yes,69.58
STU_0012,66.2,11.0,74.4,94.1,57.6,4,High School,Yes,Yes,72.93
STU_0013,82.2,5.7,64.5,90.4,56.2,2,Master,Yes,No,69.72
STU_0014,83.0,15.3,59.2,68.4,60.8,3,Bachelor,Yes,Yes,71.29
STU_0015,61.7,30.2,70.8,77.6,75.3,4,Bachelor,Yes,No,74.36
STU_0016,86.1,7.5,68.9,49.9,57.6,3,Associate,Yes,Yes,63.28
STU_0017,66.2,5.0,56.6,90.5,59.7,3,Associate,Yes,Yes,63.6
STU_0018,75.3,9.0,56.0,52.5,44.9,3,Master,Yes,No,62.6
STU_0019,78.4,11.3,46.0,77.6,64.1,2,Associate,Yes,No,64.8
STU_0020,79.3,18.5,72.3,81.7,66.2,1,Bachelor,Yes,Yes,74.31
STU_0021,68.7,10.7,50.4,47.3,42.9,2,High School,No,Yes,55.23
STU_0022,88.8,15.5,68.1,71.1,57.6,3,High School,Yes,Yes,66.79
STU_0023,58.8,9.8,76.3,97.6,71.2,1,Bachelor,Yes,No,72.02
STU_0024,84.0,11.6,70.9,50.3,54.9,2,Bachelor,Yes,Yes,68.65
